thii da ngi tupi mdo khum pi no ava' nao va ngi cap ang ki cowboy cap lu chat a	thii da ngi tupi mdo khum pi no ava' nao va ngi cap ang ki cowboy cap lu chat a	56398	60151	thii da ngi tupi mdo khum pi no ava' nao va ngi cap ang ki cowboy cap lu chat a
luu chaai khum phit-phet leek thi da cycle thou da krvaa pi'i thah,	luu chaai khum phit-phet leek thi da cycle thou da krvaa pi'i thah,	60436	63233	luu chaai khum phit-phet leek thi da cycle thou da krvaa pi'i thah,
mduu thang ngi tun ki	mduu thang ngi tun ki	63398	64778	mduu thang ngi tun ki
cycle	cycle	64949	65911	cycle
mduu thang ngi tun ki poolaang khat avah, boor kaang khat avah yu lou da mdo daal.	mduu thang ngi tun ki poolaang khat avah, boor kaang khat avah yu lou da mdo daal.	65911	69746	mduu thang ngi tun ki poolaang khat avah, boor kaang khat avah yu lou da mdo daal.
daal da thou da kvang, ava' ching arlak thang va ngi mtheina rel mdaat ti ngi,	daal da thou da kvang, ava' ching arlak thang va ngi mtheina rel mdaat ti ngi,	70107	73955	daal da thou da kvang, ava' ching arlak thang va ngi mtheina rel mdaat ti ngi,
eh thah ava'	eh thah ava'	74493	75380	eh thah ava'
ching thung thang va ngi	ching thung thang va ngi	75797	77126	ching thung thang va ngi
har rukka arhang khuung	har rukka arhang khuung	77221	78639	har rukka arhang khuung
a' thung ki	a' thung ki	78987	79727	a' thung ki
mii paa khat a	mii paa khat a	79753	80975	mii paa khat a
keel txhii da krvaa,	keel txhii da krvaa,	81272	82607	keel txhii da krvaa,
keel txhii da ngi to' mtheina ngi anto' arvaa ktloong,	keel txhii da ngi to' mtheina ngi anto' arvaa ktloong,	83095	85506	keel txhii da ngi to' mtheina ngi anto' arvaa ktloong,
mii paa vah doo khat leh ka lou meh au thung ki tun ki naaspati kyao bing mii paa hin thang vah bii meh	mii paa vah doo khat leh ka lou meh au thung ki tun ki naaspati kyao bing mii paa hin thang vah bii meh	86266	89829	mii paa vah doo khat leh ka lou meh au thung ki tun ki naaspati kyao bing mii paa hin thang vah bii meh
paa hin thang vah bii meh,
mbih ava' nao vah anto' arvaa da,	paa hin thang vah bii meh,
mbih ava' nao vah anto' arvaa da,	89873	92512	paa hin thang vah bii meh,
mbih ava' nao vah anto' arvaa da,
ava' cycle duu thang ngi anto' ngi thii thi da ngi anto' thou da kvang,	ava' cycle duu thang ngi anto' ngi thii thi da ngi anto' thou da kvang,	92550	95202	ava' cycle duu thang ngi anto' ngi thii thi da ngi anto' thou da kvang,
mvan thungbi lam arlak thang ngi	mvan thungbi lam arlak thang ngi	95563	97380	mvan thungbi lam arlak thang ngi
snuu nao khat krvaa'u cycle thou da ngi,	snuu nao khat krvaa'u cycle thou da ngi,	97437	99658	snuu nao khat krvaa'u cycle thou da ngi,
a' snuu nao va ngi msam a ngi mkniing-niing ngi,	a' snuu nao va ngi msam a ngi mkniing-niing ngi,	100157	103423	a' snuu nao va ngi msam a ngi mkniing-niing ngi,
bindi mdo loon ma lee ma chang ngi Khungsaai sam pher-pher da ngi krvaa,	bindi mdo loon ma lee ma chang ngi Khungsaai sam pher-pher da ngi krvaa,	103948	108258	bindi mdo loon ma lee ma chang ngi Khungsaai sam pher-pher da ngi krvaa,
mrhei thungbi	mrhei thungbi	108845	109711	mrhei thungbi
ava' snuu nao vah talu mtlot a mbih snung ki nao vah	ava' snuu nao vah talu mtlot a mbih snung ki nao vah	110278	113185	ava' snuu nao vah talu mtlot a mbih snung ki nao vah
cap naa da krvang pi cycle mthou a, mcap vah mdo hei tpeen lot pthii mdau,	cap naa da krvang pi cycle mthou a, mcap vah mdo hei tpeen lot pthii mdau,	113474	117463	cap naa da krvang pi cycle mthou a, mcap vah mdo hei tpeen lot pthii mdau,
mhei tpeen lot pthii thungbi	mhei tpeen lot pthii thungbi	118237	119887	mhei tpeen lot pthii thungbi
ava' nao rukka mplung pthit hei da nungai kma' ngi dil krheel da msut chaak thungbi,	ava' nao rukka mplung pthit hei da nungai kma' ngi dil krheel da msut chaak thungbi,	120061	123721	ava' nao rukka mplung pthit hei da nungai kma' ngi dil krheel da msut chaak thungbi,
mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,	mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,	123783	127350	mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,
mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,	mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,	127464	130247	mcycle lam thung mduu thang vah lung klin paa-paa k'am pi'i,
mbih mvan ptak kree thungbi,	mbih mvan ptak kree thungbi,	131072	132958	mbih mvan ptak kree thungbi,
snung ki naaspati mdo hur a mkheng ngi krlei cha',	snung ki naaspati mdo hur a mkheng ngi krlei cha',	133092	135639	snung ki naaspati mdo hur a mkheng ngi krlei cha',
mthungbi, krlei raak-arrak chda mna',	mthungbi, krlei raak-arrak chda mna',	136134	138361	mthungbi, krlei raak-arrak chda mna',
ktluu cha' nao rukka ngi tluu chda mthungbi,	ktluu cha' nao rukka ngi tluu chda mthungbi,	138793	141268	ktluu cha' nao rukka ngi tluu chda mthungbi,
yung ktluu cha'	yung ktluu cha'	141866	142763	yung ktluu cha'
myun chom thungbi,	myun chom thungbi,	142979	144092	myun chom thungbi,
myun chom thungbi, naaspati rek a sorook thung mkheng ngi krlei chda,
mna' arlaan nih	myun chom thungbi, naaspati rek a sorook thung mkheng ngi krlei chda,
mna' arlaan nih	144504	147783	myun chom thungbi, naaspati rek a sorook thung mkheng ngi krlei chda,
mna' arlaan nih
mii laai kdum krvaa lam.	mii laai kdum krvaa lam.	148020	149907	mii laai kdum krvaa lam.
mii laai kdum avah,	mii laai kdum avah,	150164	151267	mii laai kdum avah,
kmoo rek	kmoo rek	151433	152154	kmoo rek
nao luung rek a chaai knii a kmoo hei-hei lam au thung ki khat a anto' kver daat,	nao luung rek a chaai knii a kmoo hei-hei lam au thung ki khat a anto' kver daat,	152164	155618	nao luung rek a chaai knii a kmoo hei-hei lam au thung ki khat a anto' kver daat,
mthungbi ngu arvaa lam da, maan nih help mdo tlot in,	mthungbi ngu arvaa lam da, maan nih help mdo tlot in,	156040	158742	mthungbi ngu arvaa lam da, maan nih help mdo tlot in,
naaspati sorook thung mkheng krchaai cha' avah chom lam dau mpoolaang thah anto' mdo daal pik in pi,	naaspati sorook thung mkheng krchaai cha' avah chom lam dau mpoolaang thah anto' mdo daal pik in pi,	158742	163597	naaspati sorook thung mkheng krchaai cha' avah chom lam dau mpoolaang thah anto' mdo daal pik in pi,
anto' daal pik lam da,	anto' daal pik lam da,	163607	164855	anto' daal pik lam da,
au thung ki a, a' nao rukka anto' kvang cha'	au thung ki a, a' nao rukka anto' kvang cha'	164938	167195	au thung ki a, a' nao rukka anto' kvang cha'
mcycle duul da ngi,
a' snung ki mtupi avah	mcycle duul da ngi,
a' snung ki mtupi avah	167329	170257	mcycle duul da ngi,
a' snung ki mtupi avah
snuu nao mdo hai lot avah sorook yaar thah ktlaa avah mdo dee chaak kmeh,	snuu nao mdo hai lot avah sorook yaar thah ktlaa avah mdo dee chaak kmeh,	170268	174093	snuu nao mdo hai lot avah sorook yaar thah ktlaa avah mdo dee chaak kmeh,
thung ki mo mdo prngeel pthii varle?	thung ki mo mdo prngeel pthii varle?	174474	176866	thung ki mo mdo prngeel pthii varle?
thung ki nao vah cycle thou da kvang cha'	thung ki nao vah cycle thou da kvang cha'	176866	178629	thung ki nao vah cycle thou da kvang cha'
ava' le' chaai kdum rukka anto' kvang chlam,	ava' le' chaai kdum rukka anto' kvang chlam,	178958	180947	ava' le' chaai kdum rukka anto' kvang chlam,
mvan in thungbi msut khot in thungbi sorook yaar thang ngi tun ki mtupi avah ploom daat da,	mvan in thungbi msut khot in thungbi sorook yaar thang ngi tun ki mtupi avah ploom daat da,	180989	185082	mvan in thungbi msut khot in thungbi sorook yaar thang ngi tun ki mtupi avah ploom daat da,
mthungbi mtupi avah chom da nao khat vah to' huui mdo hei dum pi,	mthungbi mtupi avah chom da nao khat vah to' huui mdo hei dum pi,	185464	189299	mthungbi mtupi avah chom da nao khat vah to' huui mdo hei dum pi,
hei krheel da, huui mhei dum thungbi snung ki cycle thou da kvang cha' nao rukka arhei krheel,	hei krheel da, huui mhei dum thungbi snung ki cycle thou da kvang cha' nao rukka arhei krheel,	189401	194360	hei krheel da, huui mhei dum thungbi snung ki cycle thou da kvang cha' nao rukka arhei krheel,
mbih mrhei krheel thungbi ‘Hava' nah atupi mo'i,’ di lam da ngi, anto' vaa pii da,	mbih mrhei krheel thungbi ‘Hava' nah atupi mo'i,’ di lam da ngi, anto' vaa pii da,	194680	199247	mbih mrhei krheel thungbi ‘Hava' nah atupi mo'i,’ di lam da ngi, anto' vaa pii da,
ah, mii txhii paa khat tih hei krheel da ngi,	ah, mii txhii paa khat tih hei krheel da ngi,	199495	201969	ah, mii txhii paa khat tih hei krheel da ngi,
tupi hei pii da ava' thung ki ava' nao vah tupi khum da anto' cycle thou da anto' kvang cha',	tupi hei pii da ava' thung ki ava' nao vah tupi khum da anto' cycle thou da anto' kvang cha',	202474	206618	tupi hei pii da ava' thung ki ava' nao vah tupi khum da anto' cycle thou da anto' kvang cha',
au thung ki ava' le' chaai kdum rukka au thung ki a, naaspati khat-khat a sin lam da to' chaa lam da	au thung ki ava' le' chaai kdum rukka au thung ki a, naaspati khat-khat a sin lam da to' chaa lam da	206701	210526	au thung ki ava' le' chaai kdum rukka au thung ki a, naaspati khat-khat a sin lam da to' chaa lam da
chaa lam da anto' kntxhen chlam,	chaa lam da anto' kntxhen chlam,	210710	213061	chaa lam da anto' kntxhen chlam,
nungai a vaari a, aryaak a?	nungai a vaari a, aryaak a?	213608	217086	nungai a vaari a, aryaak a?
