mrson aryuk yao da anto' mpthii meek laan nih nao khat,	mrson aryuk yao da anto' mpthii meek laan nih nao khat,	50710	53540	mrson aryuk yao da anto' mpthii meek laan nih nao khat,
alu tdit rang ngo, nao khat avah maan	alu tdit rang ngo, nao khat avah maan	53930	56380	alu tdit rang ngo, nao khat avah maan
paam thung ki nao khat, kngao khat vah cycle sin da,	paam thung ki nao khat, kngao khat vah cycle sin da,	56510	59100	paam thung ki nao khat, kngao khat vah cycle sin da,
arhei thou da ngi,	arhei thou da ngi,	59310	60570	arhei thou da ngi,
mii paa klin	mii paa klin	60710	63130	mii paa klin
kmar txeek-txok pi	kmar txeek-txok pi	63520	65000	kmar txeek-txok pi
mthungbi ngi hang kal da myao meek chaak laan nih,	mthungbi ngi hang kal da myao meek chaak laan nih,	65240	67710	mthungbi ngi hang kal da myao meek chaak laan nih,
ava' nao avah arvaa da tprut tih	ava' nao avah arvaa da tprut tih	67820	69640	ava' nao avah arvaa da tprut tih
boor khat haai, boor khat avah	boor khat haai, boor khat avah	69760	72550	boor khat haai, boor khat avah
mcycle thung thang ngi daal da anto' tprut tih sin da kvang chpi,	mcycle thung thang ngi daal da anto' tprut tih sin da kvang chpi,	72570	75900	mcycle thung thang ngi daal da anto' tprut tih sin da kvang chpi,
mdo prut chaak pi ah lah mii paa,	mdo prut chaak pi ah lah mii paa,	76580	78540	mdo prut chaak pi ah lah mii paa,
ah ding doon thah k'am vah aryuk dei me'i,	ah ding doon thah k'am vah aryuk dei me'i,	78740	80870	ah ding doon thah k'am vah aryuk dei me'i,
mthungbi ngi,	mthungbi ngi,	81090	82320	mthungbi ngi,
pruu da ngi anto' mcycle leen nih daal thi da ngi,	pruu da ngi anto' mcycle leen nih daal thi da ngi,	82810	85315	pruu da ngi anto' mcycle leen nih daal thi da ngi,
to' kvang cha', sin da kvang cha',	to' kvang cha', sin da kvang cha',	85315	87095	to' kvang cha', sin da kvang cha',
mthungbi ngi, nao, nao suun pi'i,	mthungbi ngi, nao, nao suun pi'i,	87370	90640	mthungbi ngi, nao, nao suun pi'i,
cycle a mdo thou dee,	cycle a mdo thou dee,	90840	92020	cycle a mdo thou dee,
anto' mvan meek laan nih	anto' mvan meek laan nih	92210	93760	anto' mvan meek laan nih
ao -- nlaa yur khat ma leeng a lu khat avah, ma	ao -- nlaa yur khat ma leeng a lu khat avah, ma	94030	98050	ao -- nlaa yur khat ma leeng a lu khat avah, ma
tu' to' plap lu khat,	tu' to' plap lu khat,	98410	100400	tu' to' plap lu khat,
nao khat avah -- snuu nao khat avah ktxhaa deek a cycle thou da krvaa thang pi,	nao khat avah -- snuu nao khat avah ktxhaa deek a cycle thou da krvaa thang pi,	100820	105500	nao khat avah -- snuu nao khat avah ktxhaa deek a cycle thou da krvaa thang pi,
mthungbi ava' msut chaak meek laan nih lung klin paa mduu thah k'am avah dei mda pdeen dok da ngi,	mthungbi ava' msut chaak meek laan nih lung klin paa mduu thah k'am avah dei mda pdeen dok da ngi,	105630	110760	mthungbi ava' msut chaak meek laan nih lung klin paa mduu thah k'am avah dei mda pdeen dok da ngi,
kploom dok, mthungbi haai khimkhei a mkheng ngi lam thang mkheng ngi	kploom dok, mthungbi haai khimkhei a mkheng ngi lam thang mkheng ngi	111120	114870	kploom dok, mthungbi haai khimkhei a mkheng ngi lam thang mkheng ngi
anto' mden-mden kploom chpi, snuu nao vah doo khat ruk thee meh anto' kvaa cha'	anto' mden-mden kploom chpi, snuu nao vah doo khat ruk thee meh anto' kvaa cha'	115050	118810	anto' mden-mden kploom chpi, snuu nao vah doo khat ruk thee meh anto' kvaa cha'
mthungbi anto' ploom chda,	mthungbi anto' ploom chda,	119150	120450	mthungbi anto' ploom chda,
mdo tlot na' rah dei pnrii mda arlaan nih,	mdo tlot na' rah dei pnrii mda arlaan nih,	120550	122560	mdo tlot na' rah dei pnrii mda arlaan nih,
ah psel paa rek -- nao luung rek chaai kdum mih	ah psel paa rek -- nao luung rek chaai kdum mih	122730	125290	ah psel paa rek -- nao luung rek chaai kdum mih
thuk lam da,
ava' boor avah	thuk lam da,
ava' boor avah	125490	128040	thuk lam da,
ava' boor avah
mcycle ava' rukka prii pik lam da mdak rukka,	mcycle ava' rukka prii pik lam da mdak rukka,	128200	130830	mcycle ava' rukka prii pik lam da mdak rukka,
ah, txen lam da prip lam da au thung ki, a' boor thung ki haai mkheng ngi ah,	ah, txen lam da prip lam da au thung ki, a' boor thung ki haai mkheng ngi ah,	131010	135740	ah, txen lam da prip lam da au thung ki, a' boor thung ki haai mkheng ngi ah,
kthlaa kcha' avah mkheng ngi mden-mden kploom kcha' ava' rukka chom pik lam da,	kthlaa kcha' avah mkheng ngi mden-mden kploom kcha' ava' rukka chom pik lam da,	136160	139770	kthlaa kcha' avah mkheng ngi mden-mden kploom kcha' ava' rukka chom pik lam da,
au thung ki ah,	au thung ki ah,	139950	142230	au thung ki ah,
ren nih mcycle thung thah daal pik lam da anto' kvang chpi,	ren nih mcycle thung thah daal pik lam da anto' kvang chpi,	142590	145850	ren nih mcycle thung thah daal pik lam da anto' kvang chpi,
anto' mvan chaak thungbi snung ki	anto' mvan chaak thungbi snung ki	145920	147880	anto' mvan chaak thungbi snung ki
ung pdeen da ngi mploom thung thang ngi, mluu hup a	ung pdeen da ngi mploom thung thang ngi, mluu hup a	148280	153090	ung pdeen da ngi mploom thung thang ngi, mluu hup a
lih siir, ah, mrson thah kthlaa kcha' a dei meh mdo prngeel pthii pi'i,	lih siir, ah, mrson thah kthlaa kcha' a dei meh mdo prngeel pthii pi'i,	153470	157420	lih siir, ah, mrson thah kthlaa kcha' a dei meh mdo prngeel pthii pi'i,
mthungbi ava' nao luung rek chaai kdum ava ngi,	mthungbi ava' nao luung rek chaai kdum ava ngi,	157630	159730	mthungbi ava' nao luung rek chaai kdum ava ngi,
haai rukka mdaal pik in a au thung ki,	haai rukka mdaal pik in a au thung ki,	159860	161610	haai rukka mdaal pik in a au thung ki,
cycle thung vah prsim pik lam da mvan sin a,	cycle thung vah prsim pik lam da mvan sin a,	161740	164690	cycle thung vah prsim pik lam da mvan sin a,
mluu hup siir khat thah kploom daat mdeen thungbi	mluu hup siir khat thah kploom daat mdeen thungbi	164930	168600	mluu hup siir khat thah kploom daat mdeen thungbi
ava' nao avah huui dum lam da ngi oon lam da ngi mluu hup avah ren nih	ava' nao avah huui dum lam da ngi oon lam da ngi mluu hup avah ren nih	168700	172190	ava' nao avah huui dum lam da ngi oon lam da ngi mluu hup avah ren nih
mdo hun piik nool in pi'i, hung da ngi mcycle rukka kyoon pik thi da,	mdo hun piik nool in pi'i, hung da ngi mcycle rukka kyoon pik thi da,	172490	176460	mdo hun piik nool in pi'i, hung da ngi mcycle rukka kyoon pik thi da,
aaa	aaa	176750	177430	aaa
luup anto' nao vah sin da	luup anto' nao vah sin da	177810	179440	luup anto' nao vah sin da
um	um	179850	180450	um
kvang cha' mthungbi ava' nao vah,	kvang cha' mthungbi ava' nao vah,	180740	183610	kvang cha' mthungbi ava' nao vah,
Mknpat reen nuh’ di nih mo talu di ni mo?	Mknpat reen nuh’ di nih mo talu di ni mo?	183640	185800	Mknpat reen nuh’ di nih mo talu di ni mo?
mii laai kdum paa lam da haai a chaai kdum pii lam da khat-khat	mii laai kdum paa lam da haai a chaai kdum pii lam da khat-khat	186010	188960	mii laai kdum paa lam da haai a chaai kdum pii lam da khat-khat
pii chlam da mryun sii lam pi,	pii chlam da mryun sii lam pi,	189290	191160	pii chlam da mryun sii lam pi,
mthungbi avah	mthungbi avah	191310	192840	mthungbi avah
anto' mvan meek laan in nih ava' haai a khat-khat a anto' chaa lam da anto' kvang lam,	anto' mvan meek laan in nih ava' haai a khat-khat a anto' chaa lam da anto' kvang lam,	193010	196440	anto' mvan meek laan in nih ava' haai a khat-khat a anto' chaa lam da anto' kvang lam,
mthungbi, nei kdo thee avah,	mthungbi, nei kdo thee avah,	197100	199550	mthungbi, nei kdo thee avah,
avah	avah	200460	201249	avah
